Field_ID,Field_Name,Crop_Type,Soil_Type,Area_ha,Soil_Moisture_Percent,Temperature_C,Rainfall_mm,Humidity_Percent,Sunlight_Hours,Historical_Yield_kg
F001,Field_001,Rice,Clay,0.8,48.5,19.1,6.2,71.9,5.4,5402
F002,Field_002,Tomato,Loamy,6.5,15.0,29.7,54.2,62.2,6.2,9091
F003,Field_003,Wheat,Loamy,3.5,19.7,29.9,30.3,48.6,5.4,3571
F004,Field_004,Rice,Silty,5.3,63.9,32.0,49.6,78.8,4.7,6546
F005,Field_005,Rice,Loamy,9.1,46.4,34.0,19.2,71.1,5.0,6009
F006,Field_006,Tomato,Loamy,2.9,10.6,39.5,53.7,39.8,7.7,8492
F007,Field_007,Wheat,Loamy,4.4,16.1,29.4,23.4,84.7,5.7,3902
F008,Field_008,Wheat,Silty,7.7,49.8,25.1,0.7,79.4,6.9,3889
F009,Field_009,Rice,Loamy,2.7,10.3,35.5,54.3,87.0,8.0,5445
F010,Field_010,Maize,Clay,1.2,19.6,24.0,5.5,73.5,9.5,5944
F011,Field_011,Rice,Silty,3.3,42.9,27.7,19.2,66.8,4.3,5068
F012,Field_012,Rice,Clay,2.0,51.5,19.7,57.0,55.1,10.4,6214
F013,Field_013,Rice,Silty,9.3,49.1,18.6,57.0,86.0,9.0,6533
F014,Field_014,Rice,Loamy,8.2,23.5,39.2,34.4,82.0,4.7,5146
F015,Field_015,Tomato,Clay,6.5,52.7,36.4,37.9,32.7,11.0,9685
F016,Field_016,Wheat,Silty,8.8,24.2,33.3,26.9,31.6,11.4,3608
F017,Field_017,Tomato,Sandy,8.1,29.5,27.0,17.6,52.6,4.5,8997
F018,Field_018,Tomato,Loamy,2.3,54.8,21.8,19.7,78.6,6.2,9492
F019,Field_019,Tomato,Silty,9.0,49.0,21.4,40.4,89.2,10.4,10043
F020,Field_020,Rice,Sandy,5.6,61.0,23.5,45.1,39.0,10.0,6702
F021,Field_021,Maize,Silty,8.2,49.5,30.1,47.5,65.6,5.5,6928
F022,Field_022,Wheat,Sandy,9.0,44.1,33.7,47.4,52.9,5.7,4458
F023,Field_023,Maize,Loamy,3.5,15.6,32.5,5.5,88.2,7.0,5131
F024,Field_024,Tomato,Clay,1.5,32.1,24.2,29.7,80.5,7.9,9064
F025,Field_025,Tomato,Sandy,2.7,25.9,39.0,3.5,80.3,8.9,8428
F026,Field_026,Maize,Silty,4.6,24.6,34.2,33.0,58.1,7.0,5737
F027,Field_027,Maize,Loamy,8.3,68.4,30.2,26.5,54.9,7.7,7068
F028,Field_028,Maize,Sandy,8.7,33.6,31.5,53.3,46.4,10.0,7097
F029,Field_029,Tomato,Silty,0.6,63.5,27.2,21.1,33.4,4.3,10129
F030,Field_030,Tomato,Silty,5.4,47.9,23.5,7.0,81.9,6.0,9129
F031,Field_031,Wheat,Silty,4.5,57.7,25.8,8.6,78.8,9.7,4925
F032,Field_032,Wheat,Sandy,2.6,40.2,34.7,45.7,90.0,11.2,4307
F033,Field_033,Tomato,Sandy,1.6,44.6,18.3,37.1,89.8,8.1,8829
F034,Field_034,Maize,Sandy,3.7,39.6,20.6,6.1,63.3,8.3,5617
F035,Field_035,Maize,Clay,9.5,21.7,19.0,5.0,76.1,4.9,4846
F036,Field_036,Wheat,Sandy,3.6,53.3,18.9,42.1,86.7,7.6,4645
F037,Field_037,Tomato,Sandy,5.4,26.8,36.8,4.4,81.0,8.3,8417
F038,Field_038,Wheat,Sandy,7.2,11.5,33.5,49.3,44.8,5.9,4304
F039,Field_039,Wheat,Clay,4.0,48.7,28.4,42.4,57.0,6.2,4879
F040,Field_040,Rice,Sandy,9.7,20.6,20.2,4.9,37.7,7.0,4848
F041,Field_041,Rice,Silty,9.6,66.4,28.8,5.1,87.2,4.2,6401
F042,Field_042,Rice,Sandy,2.9,67.2,28.4,59.2,66.4,6.6,6332
F043,Field_043,Maize,Silty,5.2,64.9,21.8,22.5,43.7,5.7,6904
F044,Field_044,Tomato,Silty,3.4,32.2,27.5,22.2,70.3,6.6,9324
F045,Field_045,Tomato,Silty,3.2,10.9,26.8,48.8,67.1,5.0,8536
F046,Field_046,Tomato,Clay,0.9,65.7,31.5,56.8,51.5,11.1,10672
F047,Field_047,Tomato,Clay,6.3,35.7,32.0,59.2,36.8,8.7,9702
F048,Field_048,Rice,Clay,5.3,68.0,19.0,45.2,70.3,9.4,6543
F049,Field_049,Maize,Sandy,1.0,67.8,26.2,22.6,61.2,10.3,7217
F050,Field_050,Maize,Silty,3.1,61.2,31.8,5.0,76.3,8.0,7112
F051,Field_051,Rice,Clay,9.1,27.7,29.1,46.6,61.2,4.7,5853
F052,Field_052,Maize,Clay,2.8,33.1,36.8,33.5,81.1,8.3,6080
F053,Field_053,Rice,Sandy,1.9,61.1,32.5,25.5,63.1,8.7,6077
F054,Field_054,Tomato,Clay,5.1,29.0,21.6,54.4,63.7,10.0,9154
F055,Field_055,Rice,Sandy,9.9,20.2,19.6,6.7,82.6,7.5,5162
F056,Field_056,Tomato,Loamy,2.8,43.4,32.1,29.6,54.2,5.0,9089
F057,Field_057,Tomato,Clay,6.9,66.2,18.6,0.7,38.0,6.3,9464
F058,Field_058,Wheat,Loamy,7.7,51.8,30.9,28.1,31.7,6.9,4426
F059,Field_059,Rice,Sandy,2.8,44.2,38.7,3.4,75.3,9.2,5418
F060,Field_060,Wheat,Silty,7.4,15.8,30.7,7.1,67.2,8.6,3460
F061,Field_061,Rice,Clay,4.0,46.9,26.5,7.1,72.2,6.8,6075
F062,Field_062,Rice,Sandy,6.5,69.4,32.2,39.0,42.8,11.9,6480
F063,Field_063,Wheat,Silty,6.5,18.4,28.1,44.8,38.2,8.8,3988
F064,Field_064,Wheat,Silty,5.6,41.1,30.0,35.0,30.9,5.9,4138
F065,Field_065,Rice,Loamy,1.4,62.6,38.7,57.7,51.0,4.8,6416
F066,Field_066,Maize,Sandy,8.4,54.4,26.5,22.5,65.4,5.2,6795
F067,Field_067,Tomato,Silty,3.5,51.8,39.1,17.1,53.5,6.0,9385
F068,Field_068,Wheat,Clay,2.3,52.1,37.9,52.1,56.2,5.3,4450
F069,Field_069,Tomato,Clay,0.9,31.6,22.3,13.4,84.2,5.5,9140
F070,Field_070,Maize,Loamy,6.1,27.6,19.5,57.8,50.9,6.3,6768
F071,Field_071,Maize,Silty,6.9,58.6,20.2,0.7,60.8,5.4,6425
F072,Field_072,Maize,Sandy,0.7,58.6,18.4,58.2,77.0,11.2,7673
F073,Field_073,Wheat,Clay,5.4,62.0,20.1,2.6,53.8,4.6,4179
F074,Field_074,Maize,Silty,2.7,64.8,33.0,53.5,67.3,8.2,6839
F075,Field_075,Wheat,Silty,6.6,40.7,19.6,31.7,81.7,7.3,3767
F076,Field_076,Maize,Loamy,2.2,40.1,25.0,59.6,87.0,11.9,7315
F077,Field_077,Tomato,Clay,7.1,57.9,36.6,4.4,38.8,4.9,9391
F078,Field_078,Tomato,Clay,4.2,49.0,18.5,33.2,85.6,7.2,9481
F079,Field_079,Rice,Sandy,9.4,52.1,35.9,58.2,59.5,11.8,6462
F080,Field_080,Tomato,Clay,1.8,57.7,24.2,31.4,45.5,10.9,9521
F081,Field_081,Rice,Sandy,3.7,63.4,20.6,37.8,57.5,10.5,7223
F082,Field_082,Tomato,Clay,1.6,30.3,33.3,41.7,88.8,6.1,9202
F083,Field_083,Wheat,Loamy,9.3,32.5,31.8,27.3,59.6,5.4,4080
F084,Field_084,Tomato,Clay,8.8,15.6,37.3,37.7,49.7,9.3,8834
F085,Field_085,Rice,Sandy,3.0,44.7,34.2,35.1,68.0,11.4,6042
F086,Field_086,Rice,Sandy,6.8,12.2,35.7,54.1,44.4,8.5,5392
F087,Field_087,Maize,Loamy,8.3,37.9,24.2,2.7,34.6,8.6,5696
F088,Field_088,Wheat,Clay,5.8,42.6,21.9,16.9,37.7,6.2,4336
F089,Field_089,Tomato,Clay,5.5,27.2,34.5,57.0,37.7,10.2,9844
F090,Field_090,Maize,Loamy,2.8,45.4,35.8,53.4,39.1,5.5,7045
F091,Field_091,Tomato,Clay,1.4,11.8,39.8,27.3,38.3,6.6,8768
F092,Field_092,Tomato,Clay,9.0,12.2,27.1,37.2,68.5,7.4,8676
F093,Field_093,Maize,Sandy,9.1,59.4,26.2,16.6,40.9,8.1,6431
F094,Field_094,Maize,Clay,6.5,31.6,35.1,11.3,50.7,5.9,5648
F095,Field_095,Maize,Clay,3.7,17.6,25.5,27.8,83.8,4.9,5858
F096,Field_096,Maize,Loamy,3.8,41.3,38.5,21.2,58.4,8.9,6303
F097,Field_097,Maize,Loamy,7.4,56.2,36.9,35.0,70.1,6.3,6095
F098,Field_098,Tomato,Silty,9.0,22.9,27.4,4.7,40.3,8.6,9059
F099,Field_099,Maize,Sandy,8.9,47.4,34.5,58.5,41.5,5.2,6760
F100,Field_100,Wheat,Clay,7.9,15.1,34.6,59.2,32.5,7.8,3879
